pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2019-04-17,2019-04-26,,House H59,,,,44507000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2019-04-18,2019-04-26,,House H25,,,,51094000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2019-04-29,2019-05-07,,House H28,,,,55106000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2019-05-01,2019-05-07,,House H20,,,,51509600,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃1100 一按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2019-05-10,2019-05-20,2020-09-04,1,6/F,Penthouse,16,68230000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃1100 一按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2019-05-15,2019-05-22,,House H29,,,,57549000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2019-05-16,2019-05-23,,5,2,A,,41964000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計270天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 270 days after the vendor’s signing of the preliminary agreement -- 提前付清售價現金回贈 Early settlement cash rebate (見備註7(ii)/ See Remarks 7(ii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2019-05-27,2019-06-03,,2,5&6,Duplex B,,78000000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃1100 一按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目兩個車位認購權利 Right to purchase 2 car parks in the Development (見備註7(vi)/ See Remarks 7(vi))",
2019-07-08,2019-07-15,,House H33,,,,54820000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計270天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 270 days after the vendor’s signing of the preliminary agreement -- 提前付清售價現金回贈 Early settlement cash rebate (見備註7(ii)/ See Remarks 7(ii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2019-08-09,2019-08-16,,5,2,B,,40640520,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計270天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 270 days after the vendor’s signing of the preliminary agreement -- 提前付清售價現金回贈 Early settlement cash rebate (見備註7(ii)/ See Remarks 7(ii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2019-12-31,2020-01-07,,House H3,,,,48475000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃1100 一按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2020-01-28,2020-02-04,,House H36,,,,46921600,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計90天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 90 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2020-03-10,2020-03-17,,5,5&6,Duplex A,,64800000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計90天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 90 days after the vendor’s signing of the preliminary agreement. -- 澐灃一按付款計劃 La Vetta First Mortgage Plan (見備註7(vii)/ See Remarks 7(vii)) -- 發展項目兩個車位認購權利 Right to purchase Two car parks in the Development (見備註7(vi)/ See Remarks 7(vi))",
2020-03-14,2020-03-20,,House A21,,,66,61236000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計90天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 90 days after the vendor’s signing of the preliminary agreement.",
2020-04-06,2020-04-15,,5,5&6,Duplex B,,64800000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計60天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計90天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 60 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 90 days after the vendor’s signing of the preliminary agreement. -- 澐灃一按付款計劃 La Vetta First Mortgage Plan (見備註7(viii)/ See Remarks 7(viii)) -- 發展項目兩個車位認購權利 Right to purchase Two car parks in the Development (見備註7(vi)/ See Remarks 7(vi))",
2020-05-19,2020-05-26,,3,5&6,Duplex B,263,81992000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計45天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 45 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃1100 一按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car parks in the Development (見備註7(v)/ See Remarks 7(v))",
2020-07-11,2020-07-17,,5,3,A,9 & M7,48800000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計90天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 90 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. --澐灃一按付款計劃 La Vetta First Mortgage Plan (見備註7(viii)/ See Remarks 7(viii))",
2020-08-09,2020-08-14,,House A18,,,86 & 87,81500000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計60天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計87 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 60 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 87 days after the vendor’s signing of the preliminary agreement. -- 澐灃一按付款計劃 La Vetta First Mortgage Plan (見備註7(ix)/ See Remarks 7(ix))",
2020-08-12,2020-08-19,,House 1,,,265 & 266,180000000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計14天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計86 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 14 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 86 days after the vendor’s signing of the preliminary agreement. -- 傢俱項目 ""Furniture Items"" (見備註7(x)/ See Remarks 7(x))",
2020-08-18,2020-08-25,,House H22,,,120,53352000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計60天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計90 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 60 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 90 days after the vendor’s signing of the preliminary agreement.",
2020-10-02,2020-10-09,,House 2,,,176&177,138000000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計14 天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計150 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 14 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 150 days after the vendor’s signing of the preliminary agreement.",
